date,day,Feiertag,KW,klasse
01.01.2020,Mi,Neujahr,1.0,2
02.01.2020,Do,Berchtoldstag,1.0,2
14.02.2020,Fr,Valentinstag,7.0,5
29.03.2020,So,Sommerzeit Beginn,13.0,5
05.04.2020,So,Palmsonntag,14.0,5
10.04.2020,Fr,Karfreitag,15.0,2
12.04.2020,So,Ostern,15.0,4
13.04.2020,Mo,Ostermontag,16.0,2
10.05.2020,So,Muttertag,19.0,5
21.05.2020,Do,Auffahrt,21.0,2
31.05.2020,So,Pfingsten,22.0,4
01.06.2020,Mo,Pfingstmontag,23.0,2
07.06.2020,So,Schweizer V채tertag,23.0,5
11.06.2020,Do,Fronleichnam,24.0,5
01.08.2020,Sa,Nationalfeiertag Schweiz,31.0,1
20.09.2020,So,"Eidg. Dank-, Buss- und Bettag",38.0,5
21.09.2020,Mo,Thuner Ausschiesset,39.0,4.2 %
25.10.2020,So,Sommerzeit Ende,43.0,5
31.10.2020,Sa,Reformationstag,44.0,5
31.10.2020,Sa,Halloween,44.0,5
01.11.2020,So,Allerheiligen,44.0,5
01.11.2020,So,Reformationssonntag Schweiz,44.0,5
02.11.2020,Mo,Allerseelen,45.0,5
11.11.2020,Mi,Brienzerm채rt,46.0,<1 %
12.11.2020,Do,Brienzerm채rt,46.0,<1 %
22.11.2020,So,Ewigkeitssonntag,47.0,5
23.11.2020,Mo,Zibelem채rit,48.0,12.9 %
29.11.2020,So,Erster Advent,48.0,5
06.12.2020,So,Zweiter Advent,49.0,5
06.12.2020,So,St. Nikolaus,49.0,variiert
08.12.2020,Di,St. Nikolaus Biel/Bienne,50.0,5.3 %
13.12.2020,So,Dritter Advent,50.0,5
20.12.2020,So,Vierter Advent,51.0,5
24.12.2020,Do,Heiliger Abend,52.0,5
25.12.2020,Fr,Weihnachten,52.0,2
26.12.2020,Sa,Stephanstag,52.0,2
31.12.2020,Do,Silvester,53.0,5
